ID,H,B,T,C,R
12CS4x105,12,4,0.105,0.885,0.1875
12CS4x085,12,4,0.085,0.836,0.1875
12CS4x070,12,4,0.07,0.8,0.1875
12CS3.5x105,12,3.5,0.105,0.885,0.1875
12CS3.5x085,12,3.5,0.085,0.836,0.1875
12CS3.5x070,12,3.5,0.07,0.8,0.1875
12CS2.5x105,12,2.5,0.105,0.885,0.1875
12CS2.5x085,12,2.5,0.085,0.836,0.1875
12CS2.5x070,12,2.5,0.07,0.8,0.1875
10CS4x105,10,4,0.105,0.885,0.1875
10CS4x085,10,4,0.085,0.836,0.1875
10CS4x070,10,4,0.07,0.8,0.1875
10CS4x065,10,4,0.065,0.788,0.1875
10CS3.5x105,10,3.5,0.105,0.885,0.1875
10CS3.5x085,10,3.5,0.085,0.836,0.1875
10CS3.5x070,10,3.5,0.07,0.8,0.1875
10CS3.5x065,10,3.5,0.065,0.788,0.1875
10CS2.5x105,10,2.5,0.105,0.885,0.1875
10CS2.5x085,10,2.5,0.085,0.836,0.1875
10CS2.5x070,10,2.5,0.07,0.8,0.1875
10CS2.5x065,10,2.5,0.065,0.788,0.1875
10CS2x105,10,2,0.105,0.885,0.1875
10CS2x085,10,2,0.085,0.836,0.1875
10CS2x070,10,2,0.07,0.8,0.1875
10CS2x065,10,2,0.065,0.788,0.1875
9CS2.5x105,9,2.5,0.105,0.885,0.1875
9CS2.5x085,9,2.5,0.085,0.836,0.1875
9CS2.5x070,9,2.5,0.07,0.8,0.1875
9CS2.5x065,9,2.5,0.065,0.788,0.1875
9CS2.5x059,9,2.5,0.059,0.773,0.1875
8CS4x105,8,4,0.105,0.885,0.1875
8CS4x085,8,4,0.085,0.836,0.1875
8CS4x070,8,4,0.07,0.8,0.1875
8CS4x065,8,4,0.065,0.788,0.1875
8CS4x059,8,4,0.059,0.773,0.1875
8CS3.5x105,8,3.5,0.105,0.885,0.1875
8CS3.5x085,8,3.5,0.085,0.836,0.1875
8CS3.5x070,8,3.5,0.07,0.8,0.1875
8CS3.5x065,8,3.5,0.065,0.788,0.1875
8CS3.5x059,8,3.5,0.059,0.773,0.1875
8CS2.5x105,8,2.5,0.105,0.885,0.1875
8CS2.5x085,8,2.5,0.085,0.836,0.1875
8CS2.5x070,8,2.5,0.07,0.8,0.1875
8CS2.5x065,8,2.5,0.065,0.788,0.1875
8CS2.5x059,8,2.5,0.059,0.773,0.1875
8CS2x105,8,2,0.105,0.885,0.1875
8CS2x085,8,2,0.085,0.836,0.1875
8CS2x070,8,2,0.07,0.8,0.1875
8CS2x065,8,2,0.065,0.788,0.1875
8CS2x059,8,2,0.059,0.773,0.1875
7CS4x105,7,4,0.105,0.885,0.1875
7CS4x085,7,4,0.085,0.836,0.1875
7CS4x070,7,4,0.07,0.8,0.1875
7CS4x065,7,4,0.065,0.788,0.1875
7CS4x059,7,4,0.059,0.773,0.1875
7CS2.5x105,7,2.5,0.105,0.885,0.1875
7CS2.5x085,7,2.5,0.085,0.836,0.1875
7CS2.5x070,7,2.5,0.07,0.8,0.1875
7CS2.5x065,7,2.5,0.065,0.788,0.1875
7CS2.5x059,7,2.5,0.059,0.773,0.1875
6CS4x105,6,4,0.105,0.885,0.1875
6CS4x085,6,4,0.085,0.836,0.1875
6CS4x070,6,4,0.07,0.8,0.1875
6CS4x065,6,4,0.065,0.788,0.1875
6CS4x059,6,4,0.059,0.773,0.1875
6CS2.5x105,6,2.5,0.105,0.885,0.1875
6CS2.5x085,6,2.5,0.085,0.836,0.1875
6CS2.5x070,6,2.5,0.07,0.8,0.1875
6CS2.5x065,6,2.5,0.065,0.788,0.1875
6CS2.5x059,6,2.5,0.059,0.773,0.1875
4CS4x105,4,4,0.105,0.885,0.1875
4CS4x085,4,4,0.085,0.836,0.1875
4CS4x070,4,4,0.07,0.8,0.1875
4CS4x065,4,4,0.065,0.788,0.1875
4CS4x059,4,4,0.059,0.773,0.1875
4CS2.5x105,4,2.5,0.105,0.885,0.1875
4CS2.5x085,4,2.5,0.085,0.836,0.1875
4CS2.5x070,4,2.5,0.07,0.8,0.1875
4CS2.5x065,4,2.5,0.065,0.788,0.1875
4CS2.5x059,4,2.5,0.059,0.773,0.1875
4CS2x105,4,2,0.105,0.979,0.1875
4CS2x085,4,2,0.085,0.93,0.1875
4CS2x070,4,2,0.07,0.894,0.1875
