ID,H,B,T,C,R
12Z3.5X135-101,12,3.5,0.135,1.01,0.188
12Z3.5X105-090,12,3.5,0.105,0.9,0.188
10Z3.5X135-101,10,3.5,0.135,1.01,0.188
10Z3.5X105-090,10,3.5,0.105,0.9,0.188
10Z3.5X075-072,10,3.5,0.075,0.720,0.094
9Z3.25X135-100,9,3.25,0.135,1,0.188
9Z3.25X105-084,9,3.25,0.105,0.84,0.188
9Z3.25X075-070,9,3.25,0.075,0.7,0.094
9Z3.25X060-061,9,3.25,0.06,0.6,0.094
8Z3X135-093,8,3,0.135,0.93,0.188
8Z3X105-081,8,3,0.105,0.81,0.188
8Z3X075-070,8,3,0.075,0.7,0.094,0.094
8Z3X060-060,8,3,0.06,0.6,0.094,0.094
7Z2.75X135-088,7,2.75,0.135,0.88,0.188
7Z2.75X105-088,7,2.75,0.105,0.88,0.188
7Z2.75X075-070,7,2.75,0.075,0.7,0.094
7Z2.75X060-060,7,2.75,0.06,0.6,0.094
6Z2.5X135-082,6,2.5,0.135,0.82,0.188
6Z2.5X105-082,6,2.5,0.105,0.82,0.188
6Z2.5X075-082,6,2.5,0.075,0.82,0.094
6Z2.5X060-060,6,2.5,0.06,0.6,0.094
5Z2X135-070,5,2,0.135,0.7,0.188
5Z2X105-070,5,2,0.105,0.7,0.188
5Z2X075-060,5,2,0.075,0.6,0.094
5Z2X060-050,5,2,0.06,0.5,0.094
5Z2X048-050,5,2,0.048,0.5,0.094
4Z2X135-070,4,2,0.135,0.7,0.188
4Z2X105-070,4,2,0.105,0.7,0.188
4Z2X075-060,4,2,0.075,0.6,0.094
4Z2X060-050,4,2,0.06,0.5,0.094
4Z2X048-050,4,2,0.048,0.5,0.094
3.5Z2X135-070,3.5,2,0.135,0.7,0.188
3.5Z2X105-070,3.5,2,0.105,0.7,0.188
3.5Z2X075-060,3.5,2,0.075,0.6,0.094
3.5Z2X060-050,3.5,2,0.06,0.5,0.094
3.5Z2X048-050,3.5,2,0.048,0.5,0.094
3Z1.75X105-070,3,1.75,0.105,0.7,0.188
3Z1.75X075-053,3,1.75,0.075,0.53,0.094
3Z1.75X060-053,3,1.75,0.06,0.53,0.094
3Z1.75X048-041,3,1.75,0.048,0.41,0.094
