ID,H,B,T,R
8ZU2X135,8,2,0.135,0.188
8ZU2X105,8,2,0.105,0.188
8ZU2X075,8,2,0.075,0.094
8ZU2X060,8,2,0.06,0.094
8ZU1.25X105,8,1.25,0.105,0.1875
8ZU1.25X090,8,1.25,0.09,0.1875
8ZU1.25X075,8,1.25,0.075,0.1875
8ZU1.25X060,8,1.25,0.06,0.1875
8ZU1.25X048,8,1.25,0.048,0.1875
7ZU1.5X135,7,1.5,0.135,0.188
7ZU1.5X105,7,1.5,0.105,0.188
7ZU1.5X075,7,1.5,0.075,0.094
7ZU1.5X060,7,1.5,0.06,0.094
6ZU2.5X135,6,2.5,0.135,0.188
6ZU2.5X105,6,2.5,0.105,0.188
6ZU2.5X075,6,2.5,0.075,0.094
6ZU2.5X060,6,2.5,0.06,0.094
6ZU2.5X048,6,2.5,0.048,0.094
6ZU1.25X105,6,1.25,0.105,0.1875
6ZU1.25X090,6,1.25,0.09,0.1875
6ZU1.25X075,6,1.25,0.075,0.1875
6ZU1.25X060,6,1.25,0.06,0.1875
6ZU1.25X048,6,1.25,0.048,0.1875
5ZU1.25X105,5,1.25,0.105,0.188
5ZU1.25X075,5,1.25,0.075,0.094
5ZU1.25X060,5,1.25,0.06,0.094
5ZU1.25X048,5,1.25,0.048,0.094
4ZU1.5X060,4,1.5,0.06,0.094
4ZU1.25X090,4,1.25,0.09,0.1875
4ZU1.25X075,4,1.25,0.075,0.1875
4ZU1.25X060,4,1.25,0.06,0.1875
4ZU1.25X048,4,1.25,0.048,0.1875
4ZU1.25X036,4,1.25,0.036,0.1875
4ZU1.125X105,4,1.125,0.105,0.188
4ZU1.125X075,4,1.125,0.075,0.094
4ZU1.125X060,4,1.125,0.06,0.094
4ZU1.125X048,4,1.125,0.048,0.094
3.625ZU1.25X090,3.625,1.25,0.09,0.1875
3.625ZU1.25X075,3.625,1.25,0.075,0.1875
3.625ZU1.25X060,3.625,1.25,0.06,0.1875
3.625ZU1.25X048,3.625,1.25,0.048,0.1875
3.625ZU1.25X036,3.625,1.25,0.036,0.1875
3ZU1.5X105,3,1.5,0.06,0.094
3ZU1.125X105,3,1.125,0.105,0.188
3ZU1.125X075,3,1.125,0.075,0.094
3ZU1.125X060,3,1.125,0.06,0.094
3ZU1.125X048,3,1.125,0.048,0.094
2.5ZU1.25X090,2.5,1.25,0.09,0.1875
2.5ZU1.25X075,2.5,1.25,0.075,0.1875
2.5ZU1.25X060,2.5,1.25,0.06,0.1875
2.5ZU1.25X048,2.5,1.25,0.048,0.1875
2.5ZU1.25X036,2.5,1.25,0.036,0.1875
2ZU1.125X105,2,1.125,0.105,0.188
2ZU1.125X075,2,1.125,0.075,0.094
2ZU1.125X060,2,1.125,0.06,0.094
2ZU1.125X048,2,1.125,0.048,0.094
1.5ZU1.5X048,1.5,1.5,0.048,0.094
1.5ZU1.5X036,1.5,1.5,0.036,0.094
1.5ZU1.25X90,1.5,1.25,0.09,0.1875
1.5ZU1.25X075,1.5,1.25,0.075,0.1875
1.5ZU1.25X060,1.5,1.25,0.06,0.1875
1.5ZU1.25X048,1.5,1.25,0.048,0.1875
1.5ZU1.25X036,1.5,1.25,0.036,0.1875
