ID,H,B,C,T,R
C100X40X15X3,100,40,15,3.0,8
C140X70X30X3,140,70,30,3,8
C160X70X30X3,160,70,30,3,8
C160X80X34X3,160,80,34,3,8
C160X80X34X3.65,160,80,34,3.65,8
C160X80X34X4,160,80,34,4,8
C160X80X30X4,160,80,30,4,8
C180X80X35X3.6,180,80,35,3.6,8
C180X80X25X4,180,80,25,4,8
C100X50X25X2,100,50,25,2,8
C200X60X20X2,200,60,20,2,8
C250X70X20X2,250,70,20,2,8
C185X60X25X1.5,185,60,25,1.5,8
C185X60X26.4X2,185,60,26.4,2,8
C185X60X27.7X2.5,185,60,27.7,2.5,8
C185X60X29.1X3,185,60,29.1,3,8
C215X60X25X1.5,215,60,25,1.5,8
C215X60X26.4X2,215,60,26.4,2,8
C215X60X27.7X2.5,215,60,27.7,2.5,8
C215X60X29.1X3,215,60,29.1,3,8
