ID,H,B,T,R
C30X25X4,30,25,4,8
C40X20X4,40,20,4,8
C40X24X4,40,24,4,8
C50X25X4,50,25,4,8
C50X35X4,50,35,4,8
C60X30X4,60,30,4,8
C65X38X4,65,38,4,8
C70X25X4,70,25,4,8
C80X45X4,80,45,4,8
C100X50X4,100,50,4,8
C120X60X4,120,60,4,8
C140X65X4,140,65,4,8
C160X65X4,160,65,4,8
C180X80X4,180,80,4,8
C200X80X4,200,80,4,8
C200X100X4,200,100,4,8
C60X40X3.6,60,40,3.6,8
C60X40X4,60,40,4,8
C80X40X2.25,80,40,2.25,8
C80X40X2.5,80,40,2.5,8
C80X40X3,80,40,3,8
C80X40X4,80,40,4,8
C80X50X5,80,50,5,7.5
C100X40X3,100,40,3,8
C100X40X4,100,40,4,8
C100X50X5,100,50,5,8
C120X60X4,120,60,4,8
C140X63X4,140,63,4,8
C160X63X4,160,63,4,8
C180X75X4,180,75,4,8
